"chromosome","start","stop","CPCT02010474T","CPCT02010666T","CPCT02020293T","CPCT02020695T","CPCT02040091T","CPCT02040102T","CPCT02040188T","CPCT02040226T","CPCT02040264T","CPCT02050184T","CPCT02060259T","CPCT02070232T","CPCT02080084T","CPCT02160038T","CPCT02190007T","CPCT02210007T","CPCT02210064T","CPCT02220009T","CPCT02330036T","CPCT02330043T","CPCT02330055T","CPCT02380015T","CPCT02380016T","DRUP01010049T","DRUP01050025T","DRUP01050031T","DRUP01330008T"
"1",1,1000000,"2.00350000","2.00330000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 4.60600944","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.59710000"," 1.831300000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.79380000"," 4.66910528"," 2.039100000"
"1",1000001,2000000,"2.01617883","2.00330000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 4.91302387","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.59710000"," 1.831300000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.79380000"," 4.46830000"," 2.039100000"
"1",2000001,3000000,"2.03210000","2.00330000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.98490000","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.59752516"," 1.596372299","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.79380000"," 4.46830000"," 2.039100000"
"1",3000001,4000000,"2.03210000","2.00330000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.98716639","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.550000000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.65033554"," 4.37890014"," 2.039100000"
"1",4000001,5000000,"2.03210000","2.00330000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.550000000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",5000001,6000000,"2.03210000","1.99317202","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.550000000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",6000001,7000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.550000000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",7000001,8000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37750000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.531092119","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",8000001,9000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37883231","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.549600000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",9000001,10000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37890000","2.83060000","2.09750000"," 1.96570000"," 2.10860000","1.96790000"," 4.62020000"," 1.549600000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",10000001,11000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37890000","2.83060000","2.09970034"," 1.99700295"," 2.10860000","1.96790000"," 4.62020000"," 1.549600000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",11000001,12000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06660000"," 3.04380000"," 2.37890000","2.83060000","2.39424056"," 2.02741521"," 2.10860000","1.96790000"," 4.62020000"," 1.542833124","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",12000001,13000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.06522262"," 3.04380000"," 2.37890000","2.83060000","2.04240000"," 1.96670000"," 2.10860000","1.96790000"," 4.62020000"," 1.541400000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",13000001,14000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.05950000"," 3.04380000"," 2.37890000","2.83060000","2.04240000"," 1.96670000"," 2.10860000","1.96790000"," 4.62020000"," 1.541400000","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.039100000"
"1",14000001,15000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.87380000"," 3.99940000","3.05950000"," 3.04380000"," 2.37890000","2.83060000","2.04240000"," 1.96670000"," 2.10860000","1.96790000"," 4.55412288"," 1.476107104","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.022863391"
"1",15000001,16000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","3.46276817"," 3.99940000","3.05070033"," 3.04380000"," 2.37890000","2.83060000","2.04240000"," 1.96670000"," 2.10860000","1.96790000"," 4.60870000"," 1.493377072","2.01570000","3.06430000"," 3.01190000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.449284652"
"1",16000001,17000000,"2.03210000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","1.89720000"," 3.99940000","2.80366712"," 3.04380000"," 2.37890000","2.83060000","2.04240000"," 1.96670000"," 2.10860000","1.96790000"," 4.60870000"," 1.565500000","2.01570000","3.06430000"," 3.01115686"," 2.001600000"," 4.42350000"," 4.24080000"," 2.046300000"
"1",17000001,18000000,"2.05937471","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","1.89720000"," 3.99940000","3.09000000"," 3.04380000"," 2.37890000","2.83060000","2.09493164"," 1.96670000"," 2.10860000","1.96790000"," 4.60870000"," 1.565500000","2.01570000","3.06430000"," 3.00980000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.046300000"
"1",18000001,19000000,"2.06060000","1.98910000","2.00830000","0.97870000","1.01270000"," 4.29860000","1.98360000"," 3.19220000","1.89720000"," 3.99940000","3.09000000"," 3.04380000"," 2.37890000","2.83060000","2.09630000"," 1.96670000"," 2.10860000","1.96790000"," 4.60870000"," 1.528632336","2.01570000","3.06430000"," 3.00980000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.046300000"
"1",19000001,20000000,"2.06060000","1.98910000","2.01073493","0.97870000","1.01270000"," 4.29222381","1.98360000"," 3.19220000","1.89720000"," 3.99940000","2.89308558"," 3.04380000"," 2.41047950","2.83060000","2.09630000"," 1.96670000"," 2.10860000","1.96790000"," 4.60870000"," 1.577500000","2.01570000","3.06430000"," 3.00980000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.046300000"
"1",20000001,21000000,"2.06060000","1.98910000","2.01290000","0.97870000","1.01270000"," 4.28200000","1.98360000"," 3.19220000","1.89720000"," 3.99940000","3.02420000"," 3.04380000"," 2.38080000","2.83060000","2.09630000"," 1.96670000"," 2.10860000","1.96790000"," 4.60870000"," 1.577500000","2.01570000","3.06430000"," 3.00980000"," 2.001600000"," 4.42350000"," 4.24080000"," 2.046300000"
