sampleid;WGD
CPCT02010414T;Yes
CPCT02010471T;Yes
CPCT02010473T;Yes
CPCT02010506T;Yes
CPCT02010512T;Yes
CPCT02010529T;Yes
CPCT02010545T;Yes
CPCT02010579T;Yes
CPCT02010598T;Yes
CPCT02010604T;Yes
CPCT02010607T;Yes
CPCT02010623T;Yes
CPCT02010624T;Yes
CPCT02010700T;Yes
CPCT02010730T;Yes
CPCT02010735T;Yes
CPCT02010751T;Yes
CPCT02010835T;Yes
CPCT02010841T;Yes
CPCT02010860T;Yes
CPCT02010880T;Yes
CPCT02010884T;Yes
CPCT02020267TII;Yes
CPCT02020267TIII;Yes
CPCT02020383T;Yes
CPCT02020442T;Yes
CPCT02020554T;Yes
CPCT02020611T;Yes
CPCT02020651T;Yes
CPCT02020757T;Yes
CPCT02030306T;Yes
CPCT02030323T;Yes
CPCT02030331T;Yes
CPCT02030361T;Yes
CPCT02030371T;Yes
CPCT02030435T;Yes
CPCT02030442T;Yes
CPCT02030443T;Yes
CPCT02030454T;Yes
CPCT02030493T;Yes
CPCT02030514T;Yes
CPCT02030528T;Yes
CPCT02040027T;Yes
CPCT02040040T;Yes
CPCT02040058T;Yes
CPCT02040062T;Yes
CPCT02040068T;Yes
CPCT02040075T;Yes
CPCT02040122T;Yes
CPCT02040140T;Yes
CPCT02040148T;Yes
CPCT02040151T;Yes
CPCT02040152T;Yes
CPCT02040165T;Yes
CPCT02040183T;Yes
CPCT02040205T;Yes
CPCT02050027T;Yes
CPCT02050048T;Yes
CPCT02050057T;Yes
CPCT02050061T;Yes
CPCT02050068T;Yes
CPCT02050085T;Yes
CPCT02050095T;Yes
CPCT02050104T;Yes
CPCT02050113T;Yes
CPCT02050114T;Yes
CPCT02050115T;Yes
CPCT02050118T;Yes
CPCT02050139T;Yes
CPCT02050187T;Yes
CPCT02050199T;Yes
CPCT02050220T;Yes
CPCT02050241T;Yes
CPCT02050258T;Yes
CPCT02050259T;Yes
CPCT02050261T;Yes
CPCT02050269T;Yes
CPCT02050278T;Yes
CPCT02050296T;Yes
CPCT02050335T;Yes
CPCT02050355T;Yes
CPCT02050375T;Yes
CPCT02050397T;Yes
CPCT02060072T;Yes
CPCT02060096T;Yes
CPCT02060135T;Yes
CPCT02060136T;Yes
CPCT02060231T;Yes
CPCT02070066T;Yes
CPCT02070070T;Yes
CPCT02070122T;Yes
CPCT02070167T;Yes
CPCT02070171T;Yes
CPCT02070185T;Yes
CPCT02070198T;Yes
CPCT02070405T;Yes
CPCT02080080T;Yes
CPCT02080126T;Yes
CPCT02080131T;Yes
CPCT02080244T;Yes
CPCT02080283T;Yes
CPCT02090004T;Yes
CPCT02090023T;Yes
CPCT02090050T;Yes
CPCT02090059T;Yes
CPCT02100042T;Yes
CPCT02100131T;Yes
CPCT02100144T;Yes
CPCT02100182T;Yes
CPCT02100201T;Yes
CPCT02110026T;Yes
CPCT02110059T;Yes
CPCT02110062T;Yes
CPCT02110064T;Yes
CPCT02110071T;Yes
CPCT02120004T;Yes
CPCT02120005T;Yes
CPCT02120030T;Yes
CPCT02120031T;Yes
CPCT02120044T;Yes
CPCT02120048T;Yes
CPCT02120054T;Yes
CPCT02120066T;Yes
CPCT02120078T;Yes
CPCT02120079T;Yes
CPCT02120091T;Yes
CPCT02120119T;Yes
CPCT02120160T;Yes
CPCT02120171T;Yes
CPCT02130144T;Yes
CPCT02140056T;Yes
CPCT02140061T;Yes
CPCT02150048T;Yes
CPCT02160021T;Yes
CPCT02160049T;Yes
CPCT02160057T;Yes
CPCT02160059T;Yes
CPCT02170037T;Yes
CPCT02180042T;Yes
CPCT02180048T;Yes
CPCT02180072T;Yes
CPCT02190027T;Yes
CPCT02210003T;Yes
CPCT02210008T;Yes
CPCT02210009T;Yes
CPCT02210018T;Yes
CPCT02210023T;Yes
CPCT02210024T;Yes
CPCT02210027T;Yes
CPCT02210070T;Yes
CPCT02220020T;Yes
CPCT02220022T;Yes
CPCT02220025T;Yes
CPCT02220027T;Yes
CPCT02220059T;Yes
CPCT02220067T;Yes
CPCT02220076T;Yes
CPCT02220077T;Yes
CPCT02220081T;Yes
CPCT02230003T;Yes
CPCT02230006T;Yes
CPCT02230012T;Yes
CPCT02230027T;Yes
CPCT02230055T;Yes
CPCT02230057T;Yes
CPCT02230077T;Yes
CPCT02230087T;Yes
CPCT02230117T;Yes
CPCT02240010T;Yes
CPCT02240012T;Yes
CPCT02270001T;Yes
CPCT02270018T;Yes
CPCT02290016T;Yes
CPCT02290044T;Yes
CPCT02310002T;Yes
CPCT02310005T;Yes
CPCT02310013T;Yes
CPCT02320005T;Yes
CPCT02330009T;Yes
CPCT02330024T;Yes
CPCT02330045T;Yes
CPCT02330049T;Yes
CPCT02330051T;Yes
CPCT02330052T;Yes
CPCT02330070T;Yes
CPCT02330073T;Yes
CPCT02330085T;Yes
CPCT02330092T;Yes
CPCT02330095T;Yes
CPCT02330131T;Yes
CPCT02340006T;Yes
CPCT02340024T;Yes
CPCT02340045T;Yes
CPCT02340048T;Yes
CPCT02340074T;Yes
CPCT02350002T;Yes
CPCT02370001T;Yes
CPCT02370002T;Yes
CPCT02370002TII;Yes
CPCT02370005T;Yes
CPCT02370012T;Yes
CPCT02370020T;Yes
CPCT02380002T;Yes
CPCT02380005T;Yes
CPCT02380023T;Yes
CPCT02380040T;Yes
CPCT02390007T;Yes
CPCT02390017T;Yes
CPCT02390033T;Yes
CPCT02410008T;Yes
CPCT02450004T;Yes
CPCT02460002T;Yes
DRUP01010007T;Yes
DRUP01010044T;Yes
DRUP01010070T;Yes
DRUP01010072T;Yes
DRUP01020018T;Yes
DRUP01030026T;Yes
DRUP01060002T;Yes
DRUP01060010T;Yes
DRUP01070017T;Yes
DRUP01090009T;Yes
DRUP01090023T;Yes
DRUP01270001T;Yes
DRUP01330002T;Yes
DRUP01340001T;Yes
CPCT02010474T;Yes
CPCT02040102T;Yes
CPCT02040188T;Yes
CPCT02040226T;Yes
CPCT02040264T;Yes
CPCT02050184T;Yes
CPCT02060259T;Yes
CPCT02070232T;Yes
CPCT02080084T;Yes
CPCT02160038T;Yes
CPCT02190007T;Yes
CPCT02210064T;Yes
CPCT02220009T;Yes
CPCT02330036T;Yes
CPCT02330043T;Yes
CPCT02380015T;Yes
CPCT02380016T;Yes
DRUP01050025T;Yes
DRUP01050031T;Yes
DRUP01330008T;Yes
TCGA-4T-AA8H;Yes
TCGA-5M-AAT4;Yes
TCGA-5M-AATE;Yes
TCGA-A6-2671;Yes
TCGA-A6-2674;Yes
TCGA-A6-2675;Yes
TCGA-A6-2683;Yes
TCGA-A6-2686;Yes
TCGA-A6-3807;Yes
TCGA-A6-3810;Yes
TCGA-A6-4107;Yes
TCGA-A6-5666;Yes
TCGA-A6-5667;Yes
TCGA-A6-6142;Yes
TCGA-A6-6648;Yes
TCGA-A6-6649;Yes
TCGA-A6-6650;Yes
TCGA-A6-A56B;Yes
TCGA-AA-3511;Yes
TCGA-AA-3517;Yes
TCGA-AA-3519;Yes
TCGA-AA-3521;Yes
TCGA-AA-3532;Yes
TCGA-AA-3548;Yes
TCGA-AA-3561;Yes
TCGA-AA-3688;Yes
TCGA-AA-3712;Yes
TCGA-AA-3846;Yes
TCGA-AA-3851;Yes
TCGA-AA-3856;Yes
TCGA-AA-3858;Yes
TCGA-AA-3866;Yes
TCGA-AA-3867;Yes
TCGA-AA-3875;Yes
TCGA-AA-3949;Yes
TCGA-AA-3955;Yes
TCGA-AA-3966;Yes
TCGA-AA-3989;Yes
TCGA-AA-A01C;Yes
TCGA-AA-A01T;Yes
TCGA-AA-A03J;Yes
TCGA-AD-6890;Yes
TCGA-AD-6963;Yes
TCGA-AG-3882;Yes
TCGA-AG-4007;Yes
TCGA-AG-4008;Yes
TCGA-AY-4071;Yes
TCGA-AY-A69D;Yes
TCGA-AY-A8YK;Yes
TCGA-AZ-5403;Yes
TCGA-AZ-6603;Yes
TCGA-AZ-6605;Yes
TCGA-AZ-6607;Yes
TCGA-CA-5254;Yes
TCGA-CA-5255;Yes
TCGA-CA-5256;Yes
TCGA-CA-6716;Yes
TCGA-CA-6719;Yes
TCGA-CK-4948;Yes
TCGA-CK-5914;Yes
TCGA-CK-5915;Yes
TCGA-CM-4752;Yes
TCGA-CM-5341;Yes
TCGA-CM-5860;Yes
TCGA-CM-6163;Yes
TCGA-CM-6164;Yes
TCGA-CM-6676;Yes
TCGA-CM-6679;Yes
TCGA-D3-A8GP;Yes
TCGA-D5-5539;Yes
TCGA-D5-6533;Yes
TCGA-D5-6535;Yes
TCGA-D5-6539;Yes
TCGA-D5-6898;Yes
TCGA-D5-6922;Yes
TCGA-D5-6924;Yes
TCGA-D5-6926;Yes
TCGA-D5-6932;Yes
TCGA-DM-A1D8;Yes
TCGA-DM-A28M;Yes
TCGA-DX-AB35;Yes
TCGA-F4-6704;Yes
TCGA-F4-6808;Yes
TCGA-F4-6855;Yes
TCGA-G4-6303;Yes
TCGA-G4-6307;Yes
TCGA-G4-6315;Yes
TCGA-G4-6317;Yes
TCGA-G4-6317;Yes
TCGA-G4-6626;Yes
TCGA-NH-A6GC;Yes
TCGA-NH-A8F7;Yes
TCGA-NH-A8F7;Yes
TCGA-QG-A5YV;Yes
TCGA-T9-A92H;Yes
TCGA-2Y-A9GU;Yes
TCGA-2Y-A9GY;Yes
TCGA-2Y-A9GZ;Yes
TCGA-2Y-A9H2;Yes
TCGA-2Y-A9H3;Yes
TCGA-2Y-A9H8;Yes
TCGA-3K-AAZ8;Yes
TCGA-5C-A9VG;Yes
TCGA-BC-A10Q;Yes
TCGA-BC-A10R;Yes
TCGA-BC-A10S;Yes
TCGA-BC-A112;Yes
TCGA-BC-A217;Yes
TCGA-BC-A5W4;Yes
TCGA-BC-A69H;Yes
TCGA-BD-A3EP;Yes
TCGA-BW-A5NO;Yes
TCGA-BW-A5NQ;Yes
TCGA-CC-5258;Yes
TCGA-CC-5261;Yes
TCGA-CC-5264;Yes
TCGA-CC-A1HT;Yes
TCGA-CC-A3MB;Yes
TCGA-CC-A5UC;Yes
TCGA-CC-A5UE;Yes
TCGA-CC-A7IE;Yes
TCGA-CC-A7IF;Yes
TCGA-CC-A7IG;Yes
TCGA-CC-A7II;Yes
TCGA-CC-A7IK;Yes
TCGA-CC-A8HV;Yes
TCGA-CC-A9FU;Yes
TCGA-CC-A9FW;Yes
TCGA-DD-A113;Yes
TCGA-DD-A115;Yes
TCGA-DD-A118;Yes
TCGA-DD-A11A;Yes
TCGA-DD-A1EF;Yes
TCGA-DD-A1EG;Yes
TCGA-DD-A1EI;Yes
TCGA-DD-A3A9;Yes
TCGA-DD-A4NA;Yes
TCGA-DD-A73E;Yes
TCGA-DD-A73G;Yes
TCGA-DD-AAC8;Yes
TCGA-DD-AACB;Yes
TCGA-DD-AACG;Yes
TCGA-DD-AACI;Yes
TCGA-DD-AACN;Yes
TCGA-DD-AACO;Yes
TCGA-DD-AACU;Yes
TCGA-DD-AACZ;Yes
TCGA-DD-AAD5;Yes
TCGA-DD-AAD8;Yes
TCGA-DD-AADA;Yes
TCGA-DD-AADD;Yes
TCGA-DD-AADF;Yes
TCGA-DD-AADL;Yes
TCGA-DD-AADN;Yes
TCGA-DD-AADO;Yes
TCGA-DD-AAE0;Yes
TCGA-DD-AAE3;Yes
TCGA-DD-AAE6;Yes
TCGA-DD-AAEK;Yes
TCGA-DD-AAVQ;Yes
TCGA-DD-AAVU;Yes
TCGA-DD-AAVV;Yes
TCGA-ED-A459;Yes
TCGA-ED-A66X;Yes
TCGA-ED-A66Y;Yes
TCGA-ED-A7PY;Yes
TCGA-ED-A7PZ;Yes
TCGA-ED-A82E;Yes
TCGA-ED-A8O5;Yes
TCGA-ED-A8O6;Yes
TCGA-ED-A97K;Yes
TCGA-EP-A12J;Yes
TCGA-ES-A2HS;Yes
TCGA-ES-A2HT;Yes
TCGA-FV-A3I0;Yes
TCGA-FV-A3R3;Yes
TCGA-FV-A496;Yes
TCGA-FV-A4ZP;Yes
TCGA-G3-A25S;Yes
TCGA-G3-A25T;Yes
TCGA-G3-A5SM;Yes
TCGA-G3-A7M5;Yes
TCGA-G3-A7M9;Yes
TCGA-G3-AAV1;Yes
