"biopsysite","WholeGenomeDoubling"," 1p"," 1q"," 2p"," 2q"," 3p"," 3q"," 4p"," 4q"," 5p"," 5q"," 6p"," 6q"," 7p"," 7q"," 8p"," 8q"," 9p"," 9q","10p","10q","11p","11q","12p","12q","13q","14q","15q","16p","16q","17p","17q","18p","18q","19p","19q","20p","20q","21q","22q"
"Hartwig Liver","Yes",2.022541,3.017155,2.985579,2.970171,2.002476,3.900586,2.002096,1.946711,2.021089,2.033484,3.96557,3.905246,3.400961,3.443231,2.058507,3.860338,2.99419,2.994921,2.346886,2.843931,4.005445,2.103837,3.219787,3.000496,4.056364,2.582554,2.021018,2.96015,2.931574,2.880408,2.856044,3.473643,2.088664,2.78674,2.777332,4.855301,5.066076,1.845383,1.947757
"Hartwig Liver","Yes",2.942073,2.980196,2.934704,3.010721,2.006767,1.996674,2.99268,2.857235,2.945118,2.680745,3.582141,3.93616,5.769584,3.819887,1.960745,1.992372,2.710632,2.020795,3.934872,3.499969,3.645433,3.528739,4.345197,2.74837,3.939733,3.010315,2.495198,2.881845,3.591735,2.931029,2.712071,2.023239,2.444523,2.8633,2.88569,5.172257,5.078881,1.846233,1.95132
"Hartwig Liver","Yes",2.107471,3.940687,2.9874,2.981989,2.00355,1.992594,2.47269,2.032393,2.978776,2.045939,5.579666,3.852826,5.002069,3.166974,1.407625,4.910111,3.378043,2.966933,1.985846,1.999573,2.983993,2.939086,2.015931,2.000893,2.776256,2.325096,2.676544,2.596128,2.929609,1.9383,1.936099,2.980067,2.056478,3.649669,3.825644,3.519231,4.754845,2.913751,1.921595
"Hartwig Liver","No",1.999247,2.011913,3.005739,2.993612,2.012954,2.005293,2.011896,2.010273,2.397344,2.416454,2.010268,2.008841,2.999267,2.969735,2.0096,2.023755,3.0142,3.01111,1.996873,2.018315,2.034996,1.994671,3.0217,3.000861,2.003228,2.006495,2.983666,1.989772,1.973283,1.9623,1.952678,2.012351,1.993617,2.8909,2.854245,3.0376,2.902393,1.954981,1.938098
"Hartwig Liver","Yes",2.011601,1.986814,1.985875,2.420545,1.961294,2.773138,1.967132,1.936165,2.916828,2.109123,3.018108,2.925058,3.964881,2.930195,1.647326,4.82995,1.952139,1.955945,1.979699,1.985151,3.209896,3.859003,2.004978,1.985777,2.924557,1.977313,1.996897,2.98633,2.919317,1.9845,2.990006,1.97474,1.918114,2.212386,1.961138,3.164886,5.652098,2.860934,1.983897
"Hartwig Liver","Yes",3.02094,2.960781,2.988687,2.97214,2.941413,2.83206,2.10713,2.008923,5.84968,2.48283,3.993262,3.895056,5.959669,3.154567,1.302921,4.778202,3.05056,2.764952,2.893645,2.923165,3.079713,3.058585,2.242109,2.831235,3.889773,2.160785,2.001642,4.900981,2.967345,1.995255,1.994985,2.062787,1.965517,1.986808,3.026029,4.071567,4.040942,3.27112,1.986606
"Hartwig Liver","Yes",2.481935,4.037229,4.145718,3.983623,3.031409,3.045544,2.145116,1.990215,3.898757,2.929151,4.035032,3.946481,3.995708,3.935588,1.228305,4.744006,4.963589,4.244819,2.8885,2.204969,3.034351,3.002841,3.887671,3.470205,3.392397,2.906894,2.093848,3.906595,3.887554,2.0248,2.989911,2.021526,1.453421,3.7204,3.683823,5.033636,4.456302,2.17275,2.008928
"Hartwig Liver","Yes",3.051794,3.138486,3.063556,3.844775,3.359472,3.092091,1.977811,1.82288,4.034215,2.586693,2.99599,3.55312,5.728447,5.519042,1.113377,3.478541,4.695593,5.203298,2.956593,2.304598,2.792514,3.01603,3.062055,2.343026,6.235011,2.958525,2.055771,4.020796,2.38753,1.983055,2.010444,1.999178,1.950133,3.065425,3.086623,4.243718,4.086204,2.337763,1.988497
"Hartwig Liver","Yes",1.991245,3.956703,2.990732,2.988458,2.984793,3.190812,2.099446,2.149862,2.909583,2.050924,3.876675,3.133317,3.915407,3.855491,1.50626,3.647094,4.833941,3.068897,3.008596,2.027697,2.926993,3.328987,2.976086,2.904819,2.915716,2.999629,3.42373,3.031474,2.999267,2.08815,2.2016,2.202934,1.321118,2.288624,2.933771,2.675008,5.692062,2.835012,2.073828
"Hartwig Liver","No",1.90236,2.072101,2.216255,2.276769,2.92166,2.917658,2.014249,1.98192,1.974381,2.018913,2.364096,2.119757,2.05844,1.999018,1.535867,4.692623,2.024735,2.035754,1.574736,1.949454,2.028339,2.019304,2.080589,1.75968,3.943684,2.017528,2.066512,2.039019,2.028463,1.24923,2.824196,1.466625,1.371546,2.1489,2.04937,2.494442,4.320839,2.000015,2.568186
