binNumber;chromosome;start;stop;gainloss_fisherPvalue;gainloss_FDR;cnLOHloss_fisherPvalue;cnLOHloss_FDR;cnLOHgain_fisherPvalue;cnLOHgain_FDR;cnLOHamp_fisherPvalue;cnLOHamp_FDR;amploss_fisherPvalue;amploss_FDR;ampgain_fisherPvalue;ampgain_FDR
1;1;1;1000000;1;1;1;1;1;1;1;1;1;1;1;1
2;1;1000001;2000000;1;1;1;1;1;1;1;1;1;1;1;1
3;1;2000001;3000000;1;1;1;1;1;1;1;1;1;1;1;1
4;1;3000001;4000000;1;1;1;1;1;1;1;1;1;1;1;1
5;1;4000001;5000000;0.82;1;1;1;1;1;1;1;1;1;1;1
6;1;5000001;6000000;0.817;1;1;1;1;1;1;1;1;1;1;1
7;1;6000001;7000000;0.817;1;1;1;1;1;1;1;1;1;1;1
8;1;7000001;8000000;1;1;1;1;1;1;1;1;1;1;1;1
9;1;8000001;9000000;1;1;1;1;1;1;1;1;1;1;1;1
10;1;9000001;10000000;0.819;1;1;1;1;1;1;1;1;1;1;1
11;1;10000001;11000000;1;1;1;1;1;1;1;1;1;1;1;1
12;1;11000001;12000000;0.82;1;1;1;1;1;1;1;1;1;1;1
13;1;12000001;13000000;0.819;1;1;1;1;1;1;1;1;1;1;1
14;1;13000001;14000000;1;1;1;1;1;1;1;1;1;1;1;1
15;1;14000001;15000000;1;1;1;1;1;1;1;1;1;1;1;1
16;1;15000001;16000000;0.642;1;1;1;1;1;1;1;1;1;1;1
17;1;16000001;17000000;0.491;1;1;1;1;1;1;1;1;1;1;1
18;1;17000001;18000000;0.496;1;1;1;1;1;1;1;1;1;1;1
19;1;18000001;19000000;0.49;1;1;1;1;1;1;1;1;1;1;1
20;1;19000001;20000000;0.49;1;1;1;1;1;1;1;1;1;1;1
21;1;20000001;21000000;0.643;1;1;1;1;1;1;1;1;1;1;1
22;1;21000001;22000000;0.82;1;1;1;1;1;1;1;1;1;1;1
23;1;22000001;23000000;0.816;1;1;1;1;1;1;1;1;1;1;1
24;1;23000001;24000000;0.816;1;1;1;1;1;1;1;1;1;1;1
25;1;24000001;25000000;0.818;1;1;1;1;1;1;1;1;1;1;1
26;1;25000001;26000000;0.816;1;1;1;1;1;1;1;1;1;1;1
27;1;26000001;27000000;0.816;1;1;1;1;1;1;1;1;1;1;1
28;1;27000001;28000000;0.814;1;1;1;1;1;1;1;1;1;1;1
29;1;28000001;29000000;0.641;1;1;1;1;1;1;1;1;1;1;1
30;1;29000001;30000000;1;1;1;1;1;1;1;1;1;1;1;1
31;1;30000001;31000000;1;1;1;1;1;1;1;1;1;1;1;1
