"","hgnc_symbol","entrezgene","chromosome_name","start_position","end_position"
"1","SLC25A26",115286,"HG991_PATCH",66119285,66465398
"2","BTC",685,"HG706_PATCH",75610476,75660403
"3","GAST",2520,"HG185_PATCH",39868578,39872221
"4","HAP1",9001,"HG185_PATCH",39873994,39890896
"5","JUP",3728,"HG185_PATCH",39910856,39943183
"6","",10609,"HG185_PATCH",39958199,39968855
"7","FKBP10",60681,"HG185_PATCH",39968962,39979465
"8","NT5C3B",115024,"HG185_PATCH",39981433,39992515
"9","GOLGA6L6",727832,"15",20737094,20747114
"10","",NA,"15",21004687,21005367
"11","KLHL10",317719,"HG185_PATCH",39991937,40004636
"12","POTEB2",100996331,"15",21040701,21071643
"13","POTEB2",100287399,"15",21040701,21071643
"14","KLHL11",55175,"HG185_PATCH",40009797,40021683
"15","SECISBP2L",9728,"15",49280673,49338760
"16","",NA,"15",22011370,22012050
"17","POTEB",100996331,"15",22051853,22083227
"18","POTEB",100288966,"15",22051853,22083227
"19","POTEB",100287399,"15",22051853,22083227
"20","POTEB",317754,"15",22051853,22083227
"21","TPTE",7179,"21",10906201,11029719
"22","ACLY",47,"HG185_PATCH",40023160,40075239
"23","TTC25",83538,"HG185_PATCH",40086887,40121903
"24","",NA,"21",14741931,14745386
"25","POTED",388468,"21",14982498,15013906
"26","POTED",339010,"21",14982498,15013906
"27","POTED",317754,"21",14982498,15013906
"28","CNP",1267,"HG185_PATCH",40122993,40131428
"29","",NA,"21",15051621,15053459
"30","LDLRAD4",753,"18",13217497,13652754
"31","DNAJC7",7266,"HG185_PATCH",40132691,40173905
"32","LIPI",149998,"21",15481134,15583166
"33","RBM11",54033,"21",15588451,15600693
"34","OR4M2",390538,"15",22368478,22369561
"35","NKIRAS2",28511,"HG185_PATCH",40173272,40181893
"36","OR4N4",283694,"15",22382382,22383507
"37","",NA,"15",22456895,22460351
"38","HSPA13",6782,"21",15743436,15755805
"39","ZNF385C",201181,"HG185_PATCH",40181828,40219330
"40","GOLGA6L1",645202,"15",22736246,22746002
"41","GOLGA6L1",440243,"15",22736246,22746002
"42","GOLGA6L1",283767,"15",22736246,22746002
"43","DHX58",79132,"HG185_PATCH",40257656,40268985
"44","COPS2",9318,"15",49398268,49447858
"45","SAMSN1",64092,"21",15857549,15955723
"46","KAT2A",2648,"HG185_PATCH",40269360,40277610
"47","",388813,"21",15964251,16031142
"48","HSPB9",94086,"HG185_PATCH",40277683,40279604
"49","RAB5C",5878,"HG185_PATCH",40281228,40311269
"50","TUBGCP5",114791,"15",22833395,22873892
"51","NRIP1",8204,"21",16333556,16437321
"52","RMDN3",55177,"15",41028082,41048049
"53","PECAM1",5175,"HG183_PATCH",62399863,62491136
"54","",NA,"15",62929371,62937490
"55","MILR1",284021,"HG183_PATCH",62526397,62546003
"56","GCHFR",2644,"15",41056218,41059906
"57","POLG2",11232,"HG183_PATCH",62555145,62574426
"58","DNAJC17",55192,"15",41060067,41099675
"59","FAM210A",125228,"18",13663346,13726662
"60","USP25",29761,"21",17102344,17252377
"61","DDX5",100616408,"HG183_PATCH",62576980,62585072
"62","DDX5",100616387,"HG183_PATCH",62576980,62585072
"63","DDX5",1655,"HG183_PATCH",62576980,62585072
"64","ST8SIA5",29906,"18",44259081,44339220
"65","C21orf37",NA,"21",18811208,18821503
"66","CEP95",90799,"HG183_PATCH",62584096,62615309
"67","CXADR",1525,"21",18884700,18965897
"68","RNMT",8731,"18",13726659,13764557
"69","QSOX2",169714,"HG998_1_PATCH",139098179,139137687
"70","PIAS2",9063,"18",44388353,44500123
"71","GALK2",2585,"15",49447853,49660066
"72","",399693,"HG998_1_PATCH",139173226,139198747
"73","BTG3",10950,"21",18965971,18985265
"74","C15orf62",643338,"15",41062159,41064643
"75","EPPIN-WFDC6",100526773,"20",44165625,44176065
"76","DOCK3",1795,"HG186_PATCH",50712672,51421329
"77","MANF",7873,"HG186_PATCH",51422478,51426828
"78","WFDC8",90199,"20",44179792,44207965
"79","TPM1",7168,"15",63334831,63364114
"80","RBM15B",29890,"HG186_PATCH",51428699,51435339
"81","WFDC9",259240,"20",44236578,44259907
"82","C21orf91",54149,"21",19161284,19191703
"83","MROH1",727957,"HG243_PATCH",145202919,145316830
"84","MROH1",377711,"HG243_PATCH",145202919,145316830
"85","CRTC3",64784,"15",91073157,91188577
"86","BOP1",102465906,"HG243_PATCH",145317005,145346273
"87","BOP1",23246,"HG243_PATCH",145317005,145346273
"88","ZFYVE19",84936,"15",41099284,41106767
"89","CSTF1",1477,"20",54967427,54979518
"90","CHODL",140578,"21",19273580,19639690
"91","VPRBP",9730,"HG186_PATCH",51433298,51537425
"92","",100129885,"HG243_PATCH",145321463,145323384
"93","",642658,"HG243_PATCH",145321463,145323384
"94","WFDC10A",140832,"20",44258165,44259835
"95","CYFIP1",23191,"15",22892005,23006016
"96","WFDC11",259239,"20",44277202,44298909
"97","WFDC10B",280664,"20",44313292,44333658
"98","TMPRSS15",5651,"21",19641433,19858197
"99","WFDC13",164237,"20",44330655,44337456
"100","SPINT4",391253,"20",44350990,44354469
"101","HSF1",3297,"HG243_PATCH",145346494,145369625
"102","RAD54L2",23132,"HG186_PATCH",51579011,51701025
"103","IDH3B",3420,"20",2639041,2644865
"104","KATNAL2",83473,"18",44497455,44627658
"105","WFDC3",140686,"20",44376583,44420571
"106","CASS4",57091,"20",54987168,55034396
"107","NCAM2",4685,"21",22370633,22915650
"108","PPP1R14D",54866,"15",41107650,41120907
"109","DGAT1",8694,"HG243_PATCH",145371194,145381813
"110","FAM227B",196951,"15",49619159,49913128
"111","MC5R",4161,"18",13824154,13826861
